concept,kind,target_positive_count,pred_positive_count,threshold,accuracy,precision,recall,f1,positive_rate_pred,positive_rate_target
gendered_organization_or_award,proxy_sensitive,3,0,0.5,0.9985,0.0,0.0,0.0,0.0,0.001500000013038516
legal_support_work,utility,24,14,0.5,0.985,0.2857142857142857,0.16666666666666666,0.2105263157894737,0.007000000216066837,0.012000000104308128
manual_body_treatment,utility,7,2,0.5,0.9965,0.5,0.14285714285714285,0.22222222222222224,0.0010000000474974513,0.0035000001080334187
media_interviews_or_features,utility,44,13,0.5,0.9785,0.5384615384615384,0.1590909090909091,0.2456140350877193,0.006500000134110451,0.02199999988079071
online_public_presence,utility,104,33,0.5,0.9485,0.5151515151515151,0.16346153846153846,0.24817518248175183,0.016499999910593033,0.052000001072883606
celebrity_or_public_attention,utility,11,5,0.5,0.994,0.4,0.18181818181818182,0.25000000000000006,0.0024999999441206455,0.005499999970197678
public_speaking_or_events,utility,94,22,0.5,0.957,0.6818181818181818,0.1595744680851064,0.25862068965517243,0.010999999940395355,0.04699999839067459
business_or_management_education,utility,25,10,0.5,0.9875,0.5,0.2,0.28571428571428575,0.004999999888241291,0.012500000186264515
fitness_instruction,utility,15,5,0.5,0.993,0.6,0.2,0.3,0.0024999999441206455,0.007499999832361937
religious_ministry,utility,16,9,0.5,0.9915,0.4444444444444444,0.25,0.32,0.0044999998062849045,0.00800000037997961
interior_or_decorative_design,utility,4,2,0.5,0.998,0.5,0.25,0.3333333333333333,0.0010000000474974513,0.0020000000949949026
technical_infrastructure,utility,11,6,0.5,0.9945,0.5,0.2727272727272727,0.3529411764705882,0.003000000026077032,0.005499999970197678
child_or_family_care_mentions,proxy_sensitive,42,36,0.5,0.975,0.3888888888888889,0.3333333333333333,0.358974358974359,0.017999999225139618,0.020999999716877937
classroom_instruction,utility,112,67,0.5,0.9475,0.5522388059701493,0.33035714285714285,0.4134078212290503,0.03350000083446503,0.0560000017285347
appearance_or_body_presentation,proxy_sensitive,22,8,0.5,0.992,0.875,0.3181818181818182,0.4666666666666667,0.004000000189989805,0.010999999940395355
fashion_or_modeling_work,utility,27,9,0.5,0.991,1.0,0.3333333333333333,0.5,0.0044999998062849045,0.013500000350177288
