query_index,concept,gender_associated,uncertainty_cost
0,legal_or_regulatory_work,False,1.0639731
1,legal_practice,False,1.0494689
2,legal_support_work,False,1.0313562
3,health_or_wellness_work,False,1.1478732
4,clinical_care,False,1.1141747
5,medical_training,False,1.1101849
6,surgical_work,False,1.0485643
7,nursing_care,False,1.0338815
8,dental_or_oral_health,False,1.0167402
9,therapy_or_counseling,False,1.0800543
10,nutrition_or_diet_guidance,False,1.0401081
11,manual_body_treatment,False,1.0312238
12,education_or_academic_work,False,1.3407382
13,teaching_or_instruction,False,1.1870465
14,classroom_instruction,False,1.0941482
15,university_affiliation,False,1.2810427
16,scientific_or_lab_research,False,1.0867999
17,research_publications,False,1.0867758
18,advanced_degree_or_training,False,1.3400306
19,business_or_management_education,False,1.0264851
20,technical_or_engineering_work,False,1.0452998
21,software_development,False,1.0331904
22,technical_infrastructure,False,1.0187715
23,creative_or_artistic_work,False,1.2143312
24,design_work,False,1.0603205
25,building_or_spatial_design,False,1.0383486
26,interior_or_decorative_design,False,1.0263832
27,visual_art_practice,False,1.0901839
28,camera_or_photography_work,False,1.0424167
29,film_or_video_production,False,1.0717764
30,media_or_publishing_work,False,1.2068615
31,reporting_or_news_work,False,1.0533245
32,literary_writing,False,1.1188837
33,music_composition,False,1.0697001
34,live_music_or_recording,False,1.0650526
35,comedy_or_stage_performance,False,1.0494417
36,fashion_or_modeling_work,False,1.0379654
37,fitness_instruction,False,1.048949
38,mind_body_practice,False,1.0438889
39,religious_ministry,False,1.0280201
40,management_or_leadership,False,1.1791239
41,organizational_role_or_administration,False,1.1631713
42,business_or_client_service,False,1.247041
43,financial_or_accounting_work,False,1.0276983
44,public_speaking_or_events,False,1.1166456
45,media_interviews_or_features,False,1.1077055
46,online_public_presence,False,1.123402
47,celebrity_or_public_attention,False,1.0556744
48,public_presence_or_recognition,False,1.2176057
49,male_pronouns,True,1.0698212
50,female_pronouns,True,1.0507187
51,male_gendered_titles,True,1.059811
52,female_gendered_titles,True,1.0604473
53,spouse_or_partner_mentions,True,1.0687277
54,parent_role_mentions,True,1.0700012
55,child_or_family_care_mentions,True,1.0695143
56,appearance_or_body_presentation,True,1.0325664
57,gendered_organization_or_award,True,1.0121509
