run_name,seed,budget,query_concept,count
neural_baseline_lambda_s_0,0,1,health_or_wellness_work,2000
neural_baseline_lambda_s_0,0,2,creative_or_artistic_work,1398
neural_baseline_lambda_s_0,0,2,nursing_care,602
neural_baseline_lambda_s_0,0,3,female_pronouns,1237
neural_baseline_lambda_s_0,0,3,visual_art_practice,706
neural_baseline_lambda_s_0,0,3,clinical_care,57
neural_baseline_lambda_s_0,0,4,legal_or_regulatory_work,692
neural_baseline_lambda_s_0,0,4,literary_writing,591
neural_baseline_lambda_s_0,0,4,clinical_care,545
neural_baseline_lambda_s_0,0,4,camera_or_photography_work,115
neural_baseline_lambda_s_0,0,4,dental_or_oral_health,54
neural_baseline_lambda_s_0,0,4,female_pronouns,3
neural_baseline_lambda_s_0,0,5,design_work,677
neural_baseline_lambda_s_0,0,5,clinical_care,491
neural_baseline_lambda_s_0,0,5,dental_or_oral_health,344
neural_baseline_lambda_s_0,0,5,creative_or_artistic_work,204
neural_baseline_lambda_s_0,0,5,film_or_video_production,166
neural_baseline_lambda_s_0,0,5,literary_writing,64
neural_baseline_lambda_s_0,0,5,female_pronouns,54
neural_baseline_lambda_s_0,0,6,design_work,610
neural_baseline_lambda_s_0,0,6,film_or_video_production,479
neural_baseline_lambda_s_0,0,6,creative_or_artistic_work,228
neural_baseline_lambda_s_0,0,6,dental_or_oral_health,202
neural_baseline_lambda_s_0,0,6,clinical_care,201
neural_baseline_lambda_s_0,0,6,male_pronouns,170
neural_baseline_lambda_s_0,0,6,visual_art_practice,57
neural_baseline_lambda_s_0,0,6,literary_writing,51
neural_baseline_lambda_s_0,0,6,female_pronouns,2
neural_baseline_lambda_s_0,0,7,visual_art_practice,631
neural_baseline_lambda_s_0,0,7,live_music_or_recording,498
neural_baseline_lambda_s_0,0,7,male_pronouns,228
neural_baseline_lambda_s_0,0,7,legal_or_regulatory_work,194
neural_baseline_lambda_s_0,0,7,female_pronouns,147
neural_baseline_lambda_s_0,0,7,creative_or_artistic_work,118
neural_baseline_lambda_s_0,0,7,film_or_video_production,61
neural_baseline_lambda_s_0,0,7,design_work,52
neural_baseline_lambda_s_0,0,7,nutrition_or_diet_guidance,52
neural_baseline_lambda_s_0,0,7,literary_writing,9
neural_baseline_lambda_s_0,0,7,nursing_care,9
neural_baseline_lambda_s_0,0,7,camera_or_photography_work,1
neural_baseline_lambda_s_0,0,8,literary_writing,683
neural_baseline_lambda_s_0,0,8,female_pronouns,496
neural_baseline_lambda_s_0,0,8,nutrition_or_diet_guidance,346
neural_baseline_lambda_s_0,0,8,live_music_or_recording,208
neural_baseline_lambda_s_0,0,8,design_work,147
neural_baseline_lambda_s_0,0,8,male_pronouns,55
neural_baseline_lambda_s_0,0,8,creative_or_artistic_work,52
neural_baseline_lambda_s_0,0,8,camera_or_photography_work,5
neural_baseline_lambda_s_0,0,8,film_or_video_production,5
neural_baseline_lambda_s_0,0,8,visual_art_practice,2
neural_baseline_lambda_s_0,0,8,dental_or_oral_health,1
neural_baseline_lambda_s_0,0,9,film_or_video_production,614
neural_baseline_lambda_s_0,0,9,camera_or_photography_work,589
