run_name,seed,budget,query_concept,count
neural_baseline_lambda_s_0,0,1,female_pronouns,2000
neural_baseline_lambda_s_0,0,2,creative_or_artistic_work,1171
neural_baseline_lambda_s_0,0,2,legal_or_regulatory_work,829
neural_baseline_lambda_s_0,0,3,health_or_wellness_work,1517
neural_baseline_lambda_s_0,0,3,visual_art_practice,483
neural_baseline_lambda_s_0,0,4,design_work,430
neural_baseline_lambda_s_0,0,4,technical_or_engineering_work,407
neural_baseline_lambda_s_0,0,4,film_or_video_production,405
neural_baseline_lambda_s_0,0,4,nursing_care,314
neural_baseline_lambda_s_0,0,4,dental_or_oral_health,281
neural_baseline_lambda_s_0,0,4,creative_or_artistic_work,85
neural_baseline_lambda_s_0,0,4,camera_or_photography_work,78
neural_baseline_lambda_s_0,0,5,clinical_care,540
neural_baseline_lambda_s_0,0,5,creative_or_artistic_work,430
neural_baseline_lambda_s_0,0,5,legal_or_regulatory_work,407
neural_baseline_lambda_s_0,0,5,live_music_or_recording,405
neural_baseline_lambda_s_0,0,5,technical_or_engineering_work,84
neural_baseline_lambda_s_0,0,5,film_or_video_production,78
neural_baseline_lambda_s_0,0,5,dental_or_oral_health,55
neural_baseline_lambda_s_0,0,5,visual_art_practice,1
neural_baseline_lambda_s_0,0,6,clinical_care,462
neural_baseline_lambda_s_0,0,6,literary_writing,405
neural_baseline_lambda_s_0,0,6,technical_or_engineering_work,254
neural_baseline_lambda_s_0,0,6,visual_art_practice,229
neural_baseline_lambda_s_0,0,6,nursing_care,228
neural_baseline_lambda_s_0,0,6,creative_or_artistic_work,143
neural_baseline_lambda_s_0,0,6,dental_or_oral_health,116
neural_baseline_lambda_s_0,0,6,design_work,85
neural_baseline_lambda_s_0,0,6,live_music_or_recording,78
neural_baseline_lambda_s_0,0,7,visual_art_practice,399
neural_baseline_lambda_s_0,0,7,design_work,312
neural_baseline_lambda_s_0,0,7,clinical_care,285
neural_baseline_lambda_s_0,0,7,literary_writing,270
neural_baseline_lambda_s_0,0,7,surgical_work,228
neural_baseline_lambda_s_0,0,7,creative_or_artistic_work,171
neural_baseline_lambda_s_0,0,7,dental_or_oral_health,146
neural_baseline_lambda_s_0,0,7,health_or_wellness_work,98
neural_baseline_lambda_s_0,0,7,legal_or_regulatory_work,53
neural_baseline_lambda_s_0,0,7,film_or_video_production,38
neural_baseline_lambda_s_0,0,8,design_work,575
neural_baseline_lambda_s_0,0,8,camera_or_photography_work,411
neural_baseline_lambda_s_0,0,8,technical_or_engineering_work,303
neural_baseline_lambda_s_0,0,8,visual_art_practice,289
neural_baseline_lambda_s_0,0,8,film_or_video_production,192
neural_baseline_lambda_s_0,0,8,surgical_work,168
neural_baseline_lambda_s_0,0,8,nursing_care,62
neural_baseline_lambda_s_0,0,9,live_music_or_recording,875
neural_baseline_lambda_s_0,0,9,health_or_wellness_work,385
neural_baseline_lambda_s_0,0,9,design_work,207
neural_baseline_lambda_s_0,0,9,legal_or_regulatory_work,162
neural_baseline_lambda_s_0,0,9,technical_or_engineering_work,156
neural_baseline_lambda_s_0,0,9,camera_or_photography_work,101
neural_baseline_lambda_s_0,0,9,software_development,61
neural_baseline_lambda_s_0,0,9,literary_writing,43
neural_baseline_lambda_s_0,0,9,mind_body_practice,9
neural_baseline_lambda_s_0,0,9,dental_or_oral_health,1
neural_baseline_lambda_s_0,0,10,literary_writing,683
neural_baseline_lambda_s_0,0,10,legal_or_regulatory_work,534
neural_baseline_lambda_s_0,0,10,camera_or_photography_work,407
neural_baseline_lambda_s_0,0,10,design_work,162
neural_baseline_lambda_s_0,0,10,visual_art_practice,142
neural_baseline_lambda_s_0,0,10,live_music_or_recording,40
neural_baseline_lambda_s_0,0,10,mind_body_practice,14
neural_baseline_lambda_s_0,0,10,male_pronouns,8
neural_baseline_lambda_s_0,0,10,clinical_care,7
neural_baseline_lambda_s_0,0,10,film_or_video_production,3
neural_baseline_lambda_s_0,0,11,technical_or_engineering_work,770
neural_baseline_lambda_s_0,0,11,film_or_video_production,612
neural_baseline_lambda_s_0,0,11,male_pronouns,255
neural_baseline_lambda_s_0,0,11,software_development,214
neural_baseline_lambda_s_0,0,11,mind_body_practice,61
neural_baseline_lambda_s_0,0,11,visual_art_practice,61
neural_baseline_lambda_s_0,0,11,camera_or_photography_work,15
neural_baseline_lambda_s_0,0,11,design_work,5
neural_baseline_lambda_s_0,0,11,live_music_or_recording,3
neural_baseline_lambda_s_0,0,11,dental_or_oral_health,2
neural_baseline_lambda_s_0,0,11,legal_or_regulatory_work,1
neural_baseline_lambda_s_0,0,11,literary_writing,1
neural_baseline_lambda_s_0,0,12,clinical_care,706
neural_baseline_lambda_s_0,0,12,camera_or_photography_work,381
neural_baseline_lambda_s_0,0,12,software_development,332
neural_baseline_lambda_s_0,0,12,male_pronouns,313
neural_baseline_lambda_s_0,0,12,design_work,130
neural_baseline_lambda_s_0,0,12,film_or_video_production,73
neural_baseline_lambda_s_0,0,12,visual_art_practice,27
neural_baseline_lambda_s_0,0,12,technical_or_engineering_work,15
neural_baseline_lambda_s_0,0,12,legal_or_regulatory_work,12
neural_baseline_lambda_s_0,0,12,live_music_or_recording,8
neural_baseline_lambda_s_0,0,12,nursing_care,2
neural_baseline_lambda_s_0,0,12,teaching_or_instruction,1
neural_baseline_lambda_s_0,0,13,male_pronouns,612
neural_baseline_lambda_s_0,0,13,camera_or_photography_work,404
neural_baseline_lambda_s_0,0,13,software_development,395
neural_baseline_lambda_s_0,0,13,mind_body_practice,153
neural_baseline_lambda_s_0,0,13,literary_writing,143
neural_baseline_lambda_s_0,0,13,visual_art_practice,103
neural_baseline_lambda_s_0,0,13,teaching_or_instruction,94
neural_baseline_lambda_s_0,0,13,live_music_or_recording,52
neural_baseline_lambda_s_0,0,13,design_work,28
neural_baseline_lambda_s_0,0,13,technical_or_engineering_work,9
neural_baseline_lambda_s_0,0,13,dental_or_oral_health,3
neural_baseline_lambda_s_0,0,13,surgical_work,2
neural_baseline_lambda_s_0,0,13,legal_practice,1
neural_baseline_lambda_s_0,0,13,public_speaking_or_events,1
neural_baseline_lambda_s_0,0,14,male_pronouns,808
neural_baseline_lambda_s_0,0,14,software_development,321
neural_baseline_lambda_s_0,0,14,comedy_or_stage_performance,264
neural_baseline_lambda_s_0,0,14,camera_or_photography_work,194
neural_baseline_lambda_s_0,0,14,teaching_or_instruction,171
neural_baseline_lambda_s_0,0,14,mind_body_practice,161
neural_baseline_lambda_s_0,0,14,visual_art_practice,54
neural_baseline_lambda_s_0,0,14,literary_writing,8
neural_baseline_lambda_s_0,0,14,medical_training,7
neural_baseline_lambda_s_0,0,14,design_work,5
neural_baseline_lambda_s_0,0,14,legal_practice,5
neural_baseline_lambda_s_0,0,14,celebrity_or_public_attention,1
neural_baseline_lambda_s_0,0,14,dental_or_oral_health,1
neural_baseline_lambda_s_0,0,15,legal_practice,1066
neural_baseline_lambda_s_0,0,15,visual_art_practice,204
neural_baseline_lambda_s_0,0,15,surgical_work,140
neural_baseline_lambda_s_0,0,15,teaching_or_instruction,132
neural_baseline_lambda_s_0,0,15,nursing_care,90
neural_baseline_lambda_s_0,0,15,university_affiliation,73
neural_baseline_lambda_s_0,0,15,comedy_or_stage_performance,60
neural_baseline_lambda_s_0,0,15,media_or_publishing_work,58
neural_baseline_lambda_s_0,0,15,design_work,54
neural_baseline_lambda_s_0,0,15,literary_writing,51
neural_baseline_lambda_s_0,0,15,software_development,33
neural_baseline_lambda_s_0,0,15,online_public_presence,13
neural_baseline_lambda_s_0,0,15,camera_or_photography_work,9
neural_baseline_lambda_s_0,0,15,spouse_or_partner_mentions,5
neural_baseline_lambda_s_0,0,15,dental_or_oral_health,4
neural_baseline_lambda_s_0,0,15,male_pronouns,3
neural_baseline_lambda_s_0,0,15,medical_training,3
neural_baseline_lambda_s_0,0,15,live_music_or_recording,1
neural_baseline_lambda_s_0,0,15,technical_or_engineering_work,1
neural_baseline_lambda_s_0,0,16,dental_or_oral_health,298
neural_baseline_lambda_s_0,0,16,media_or_publishing_work,237
neural_baseline_lambda_s_0,0,16,comedy_or_stage_performance,205
neural_baseline_lambda_s_0,0,16,literary_writing,201
neural_baseline_lambda_s_0,0,16,nursing_care,194
neural_baseline_lambda_s_0,0,16,legal_practice,192
neural_baseline_lambda_s_0,0,16,university_affiliation,192
neural_baseline_lambda_s_0,0,16,mind_body_practice,139
neural_baseline_lambda_s_0,0,16,live_music_or_recording,94
neural_baseline_lambda_s_0,0,16,medical_training,60
neural_baseline_lambda_s_0,0,16,teaching_or_instruction,52
neural_baseline_lambda_s_0,0,16,online_public_presence,40
neural_baseline_lambda_s_0,0,16,software_development,36
neural_baseline_lambda_s_0,0,16,music_composition,18
neural_baseline_lambda_s_0,0,16,public_speaking_or_events,16
neural_baseline_lambda_s_0,0,16,film_or_video_production,9
neural_baseline_lambda_s_0,0,16,financial_or_accounting_work,8
neural_baseline_lambda_s_0,0,16,surgical_work,3
neural_baseline_lambda_s_0,0,16,design_work,2
neural_baseline_lambda_s_0,0,16,visual_art_practice,2
neural_baseline_lambda_s_0,0,16,male_pronouns,1
neural_baseline_lambda_s_0,0,16,spouse_or_partner_mentions,1
neural_baseline_lambda_s_0,0,17,media_or_publishing_work,801
neural_baseline_lambda_s_0,0,17,live_music_or_recording,163
neural_baseline_lambda_s_0,0,17,surgical_work,141
neural_baseline_lambda_s_0,0,17,comedy_or_stage_performance,126
neural_baseline_lambda_s_0,0,17,literary_writing,121
neural_baseline_lambda_s_0,0,17,university_affiliation,120
neural_baseline_lambda_s_0,0,17,medical_training,114
neural_baseline_lambda_s_0,0,17,software_development,91
neural_baseline_lambda_s_0,0,17,music_composition,76
neural_baseline_lambda_s_0,0,17,public_speaking_or_events,62
neural_baseline_lambda_s_0,0,17,financial_or_accounting_work,51
neural_baseline_lambda_s_0,0,17,spouse_or_partner_mentions,44
neural_baseline_lambda_s_0,0,17,dental_or_oral_health,25
neural_baseline_lambda_s_0,0,17,manual_body_treatment,19
neural_baseline_lambda_s_0,0,17,legal_practice,14
neural_baseline_lambda_s_0,0,17,online_public_presence,10
neural_baseline_lambda_s_0,0,17,teaching_or_instruction,10
neural_baseline_lambda_s_0,0,17,child_or_family_care_mentions,5
neural_baseline_lambda_s_0,0,17,business_or_client_service,2
neural_baseline_lambda_s_0,0,17,mind_body_practice,2
neural_baseline_lambda_s_0,0,17,film_or_video_production,1
neural_baseline_lambda_s_0,0,17,legal_or_regulatory_work,1
neural_baseline_lambda_s_0,0,17,nutrition_or_diet_guidance,1
neural_baseline_lambda_s_0,0,18,financial_or_accounting_work,319
neural_baseline_lambda_s_0,0,18,university_affiliation,311
neural_baseline_lambda_s_0,0,18,software_development,222
neural_baseline_lambda_s_0,0,18,public_speaking_or_events,213
neural_baseline_lambda_s_0,0,18,surgical_work,205
neural_baseline_lambda_s_0,0,18,teaching_or_instruction,156
neural_baseline_lambda_s_0,0,18,medical_training,120
neural_baseline_lambda_s_0,0,18,online_public_presence,98
neural_baseline_lambda_s_0,0,18,media_or_publishing_work,84
neural_baseline_lambda_s_0,0,18,nutrition_or_diet_guidance,62
neural_baseline_lambda_s_0,0,18,comedy_or_stage_performance,52
neural_baseline_lambda_s_0,0,18,legal_practice,46
neural_baseline_lambda_s_0,0,18,music_composition,32
neural_baseline_lambda_s_0,0,18,spouse_or_partner_mentions,19
neural_baseline_lambda_s_0,0,18,film_or_video_production,13
neural_baseline_lambda_s_0,0,18,live_music_or_recording,13
neural_baseline_lambda_s_0,0,18,manual_body_treatment,13
neural_baseline_lambda_s_0,0,18,business_or_client_service,9
neural_baseline_lambda_s_0,0,18,literary_writing,5
neural_baseline_lambda_s_0,0,18,mind_body_practice,4
neural_baseline_lambda_s_0,0,18,dental_or_oral_health,2
neural_baseline_lambda_s_0,0,18,celebrity_or_public_attention,1
neural_baseline_lambda_s_0,0,18,legal_or_regulatory_work,1
neural_baseline_lambda_s_0,0,19,music_composition,449
neural_baseline_lambda_s_0,0,19,public_speaking_or_events,294
neural_baseline_lambda_s_0,0,19,manual_body_treatment,285
neural_baseline_lambda_s_0,0,19,film_or_video_production,177
neural_baseline_lambda_s_0,0,19,mind_body_practice,171
neural_baseline_lambda_s_0,0,19,celebrity_or_public_attention,96
neural_baseline_lambda_s_0,0,19,medical_training,93
neural_baseline_lambda_s_0,0,19,legal_practice,79
neural_baseline_lambda_s_0,0,19,media_or_publishing_work,64
neural_baseline_lambda_s_0,0,19,surgical_work,46
neural_baseline_lambda_s_0,0,19,child_or_family_care_mentions,44
neural_baseline_lambda_s_0,0,19,live_music_or_recording,44
neural_baseline_lambda_s_0,0,19,business_or_client_service,39
neural_baseline_lambda_s_0,0,19,nutrition_or_diet_guidance,24
neural_baseline_lambda_s_0,0,19,online_public_presence,19
neural_baseline_lambda_s_0,0,19,software_development,17
neural_baseline_lambda_s_0,0,19,literary_writing,16
neural_baseline_lambda_s_0,0,19,teaching_or_instruction,16
neural_baseline_lambda_s_0,0,19,dental_or_oral_health,7
neural_baseline_lambda_s_0,0,19,university_affiliation,6
neural_baseline_lambda_s_0,0,19,fashion_or_modeling_work,5
neural_baseline_lambda_s_0,0,19,building_or_spatial_design,4
neural_baseline_lambda_s_0,0,19,spouse_or_partner_mentions,3
neural_baseline_lambda_s_0,0,19,religious_ministry,1
neural_baseline_lambda_s_0,0,19,technical_or_engineering_work,1
neural_baseline_lambda_s_0,0,20,business_or_client_service,345
neural_baseline_lambda_s_0,0,20,online_public_presence,298
neural_baseline_lambda_s_0,0,20,legal_practice,246
neural_baseline_lambda_s_0,0,20,public_speaking_or_events,225
neural_baseline_lambda_s_0,0,20,music_composition,132
neural_baseline_lambda_s_0,0,20,mind_body_practice,129
neural_baseline_lambda_s_0,0,20,celebrity_or_public_attention,113
neural_baseline_lambda_s_0,0,20,spouse_or_partner_mentions,110
neural_baseline_lambda_s_0,0,20,reporting_or_news_work,99
neural_baseline_lambda_s_0,0,20,building_or_spatial_design,74
neural_baseline_lambda_s_0,0,20,nutrition_or_diet_guidance,61
neural_baseline_lambda_s_0,0,20,live_music_or_recording,60
neural_baseline_lambda_s_0,0,20,manual_body_treatment,45
neural_baseline_lambda_s_0,0,20,media_or_publishing_work,28
