row_idx,sample_row,true_profession,biography,neural_baseline_lambda_s_0_first_10_questions,neural_baseline_lambda_s_0_budget_5_prediction,neural_baseline_lambda_s_0_budget_5_confidence,neural_baseline_lambda_s_0_budget_5_correct,neural_baseline_lambda_s_0_budget_10_prediction,neural_baseline_lambda_s_0_budget_10_confidence,neural_baseline_lambda_s_0_budget_10_correct,neural_baseline_lambda_s_0_budget_20_prediction,neural_baseline_lambda_s_0_budget_20_confidence,neural_baseline_lambda_s_0_budget_20_correct,neural_claq_lambda_s_0_4_first_10_questions,neural_claq_lambda_s_0_4_budget_5_prediction,neural_claq_lambda_s_0_4_budget_5_confidence,neural_claq_lambda_s_0_4_budget_5_correct,neural_claq_lambda_s_0_4_budget_10_prediction,neural_claq_lambda_s_0_4_budget_10_confidence,neural_claq_lambda_s_0_4_budget_10_correct,neural_claq_lambda_s_0_4_budget_20_prediction,neural_claq_lambda_s_0_4_budget_20_confidence,neural_claq_lambda_s_0_4_budget_20_correct
0,0,accountant,She is primarily responsible for trust and estate tax returns. She is also very proficient at the preparation of Form 8824 Like-Kind Exchanges and structuring real estate transactions. [More details],health_or_wellness_work -> creative_or_artistic_work -> female_pronouns -> legal_or_regulatory_work -> clinical_care -> design_work -> visual_art_practice -> literary_writing -> film_or_video_production -> live_music_or_recording,paralegal,0.687,False,paralegal,0.677,False,paralegal,0.584,False,creative_or_artistic_work -> health_or_wellness_work -> legal_or_regulatory_work -> technical_or_engineering_work -> design_work -> clinical_care -> visual_art_practice -> live_music_or_recording -> mind_body_practice -> film_or_video_production,attorney,0.599,False,attorney,0.595,False,attorney,0.532,False
4,4,physician,"In the ensuing years, she held a variety of positions in the health care industry acquiring a diverse toolbox of skills. She joined KMC University in 2016.",health_or_wellness_work -> nursing_care -> female_pronouns -> clinical_care -> creative_or_artistic_work -> dental_or_oral_health -> legal_or_regulatory_work -> design_work -> male_pronouns -> nutrition_or_diet_guidance,dietitian,0.32,False,yoga_teacher,0.456,False,dietitian,0.195,False,creative_or_artistic_work -> health_or_wellness_work -> mind_body_practice -> clinical_care -> nutrition_or_diet_guidance -> legal_or_regulatory_work -> dental_or_oral_health -> nursing_care -> technical_or_engineering_work -> design_work,personal_trainer,0.311,False,personal_trainer,0.288,False,personal_trainer,0.263,False
6,6,paralegal,"She joined the firm in March of 2018. Her role is to assist the firm’s attorneys in making sure deadlines are met, clients are up to date on case process, and ensure each day runs as smooth as possible. Tatiana graduated from Sheldon High School in 2012 and studied at Sacramento City and San Diego City colleges. She received her Paralegal Certificate from California State University East Bay in June 2017.",health_or_wellness_work -> creative_or_artistic_work -> female_pronouns -> legal_or_regulatory_work -> clinical_care -> design_work -> visual_art_practice -> literary_writing -> film_or_video_production -> live_music_or_recording,paralegal,0.687,True,paralegal,0.677,True,paralegal,0.584,True,creative_or_artistic_work -> health_or_wellness_work -> legal_or_regulatory_work -> technical_or_engineering_work -> design_work -> clinical_care -> visual_art_practice -> live_music_or_recording -> mind_body_practice -> film_or_video_production,attorney,0.599,False,attorney,0.595,False,attorney,0.486,False
11,11,chiropractor,"He has been a consultant to insurance companies, worker's compensation and formerly president of the Ontario and Canadian Chiropractic Associations. He chaired and edited the C.C.A.'s Clinical Practice Guidelines (Glenerin) Document.",health_or_wellness_work -> nursing_care -> female_pronouns -> clinical_care -> dental_or_oral_health -> creative_or_artistic_work -> male_pronouns -> nutrition_or_diet_guidance -> legal_or_regulatory_work -> mind_body_practice,surgeon,0.318,False,surgeon,0.341,False,psychologist,0.25,False,creative_or_artistic_work -> health_or_wellness_work -> mind_body_practice -> clinical_care -> dental_or_oral_health -> nursing_care -> nutrition_or_diet_guidance -> legal_or_regulatory_work -> technical_or_engineering_work -> education_or_academic_work,nurse,0.215,False,psychologist,0.339,False,chiropractor,0.297,True
14,14,attorney,"Her practice focuses primarily on business immigration, including working with clients in a variety of industries to prepare and file non-immigrant and immigrant visas. She has extensive experience with L-1 visas, including blanket and individual L-1s, as well as new office L petitions. She is a 2004 graduate of American University Washington College of Law and earned her undergraduate degree at Gonzaga University in 2001. She currently serves on the Board of AILA’s Northern California Chapter a",health_or_wellness_work -> creative_or_artistic_work -> female_pronouns -> legal_or_regulatory_work -> clinical_care -> design_work -> visual_art_practice -> literary_writing -> film_or_video_production -> live_music_or_recording,paralegal,0.687,False,paralegal,0.677,False,paralegal,0.793,False,creative_or_artistic_work -> health_or_wellness_work -> legal_or_regulatory_work -> technical_or_engineering_work -> design_work -> clinical_care -> visual_art_practice -> live_music_or_recording -> mind_body_practice -> film_or_video_production,attorney,0.599,True,attorney,0.595,True,attorney,0.486,True
32,32,teacher,"While teaching, she has researched her own teaching philosophies and strategies, and has paid close attention to how children share their understandings. She also focuses on the role of the arts in learning, and has written some books about her experiences as a teacher-researcher and her findings. She received her Ed.D. in education from Boston University in 1981 and is a member of the Brookline Teacher Research Seminar.",health_or_wellness_work -> creative_or_artistic_work -> female_pronouns -> legal_or_regulatory_work -> design_work -> clinical_care -> visual_art_practice -> literary_writing -> film_or_video_production -> live_music_or_recording,model,0.165,False,model,0.187,False,model,0.218,False,creative_or_artistic_work -> health_or_wellness_work -> legal_or_regulatory_work -> technical_or_engineering_work -> design_work -> clinical_care -> visual_art_practice -> live_music_or_recording -> mind_body_practice -> film_or_video_production,pastor,0.11,False,accountant,0.164,False,accountant,0.214,False
39,39,personal_trainer,"Her interest in fitness started young with sports but after discovering she had a congenital heart defect at age 19, her interest turned into passion. It took multiple surgeries and almost 2 years to fix this condition, and after attending cardiac rehab, wellness became her main focus. After finishing a degree in Psychology it was followed up by a diploma in Personal Training, to make wellness not only a focus in her own life but in the life of others.",health_or_wellness_work -> nursing_care -> female_pronouns -> clinical_care -> creative_or_artistic_work -> dental_or_oral_health -> legal_or_regulatory_work -> design_work -> male_pronouns -> nutrition_or_diet_guidance,dietitian,0.32,False,yoga_teacher,0.456,False,dietitian,0.195,False,creative_or_artistic_work -> health_or_wellness_work -> mind_body_practice -> clinical_care -> nutrition_or_diet_guidance -> legal_or_regulatory_work -> dental_or_oral_health -> nursing_care -> technical_or_engineering_work -> design_work,personal_trainer,0.311,True,personal_trainer,0.288,True,personal_trainer,0.263,True
45,45,pastor,"Along with The Body Battle message, she is passionate about empowering others to live by faith and fulfill their destiny through a close relationship with God.",health_or_wellness_work -> creative_or_artistic_work -> female_pronouns -> legal_or_regulatory_work -> design_work -> clinical_care -> visual_art_practice -> literary_writing -> film_or_video_production -> live_music_or_recording,model,0.165,False,model,0.187,False,model,0.218,False,creative_or_artistic_work -> health_or_wellness_work -> legal_or_regulatory_work -> technical_or_engineering_work -> design_work -> clinical_care -> visual_art_practice -> live_music_or_recording -> mind_body_practice -> film_or_video_production,pastor,0.11,True,accountant,0.164,False,accountant,0.221,False
71,71,painter,"He begins by sketching and framing the object he wants to create and creating a color study. Wine meticulously lays down tape and adjusts, cuts, and moves the tape to create clean shapes. He then paints and peels the tape up for a “slow, wonderful, pain-staking reveal.” Wine is a College of Charleston alumnus and works at Artist and Craftsman Supply.",health_or_wellness_work -> creative_or_artistic_work -> visual_art_practice -> literary_writing -> design_work -> film_or_video_production -> live_music_or_recording -> female_pronouns -> camera_or_photography_work -> legal_or_regulatory_work,composer,0.172,False,composer,0.173,False,rapper,0.213,False,creative_or_artistic_work -> live_music_or_recording -> visual_art_practice -> literary_writing -> design_work -> film_or_video_production -> health_or_wellness_work -> legal_or_regulatory_work -> technical_or_engineering_work -> clinical_care,filmmaker,0.168,False,model,0.141,False,teacher,0.122,False
74,74,interior_designer,"Indefatigable importer of the anglo-saxon culture, absorbed during his professional career, he combines since 1997 turnkey design and all round consulting services. His interior projects go from private to retail.",health_or_wellness_work -> creative_or_artistic_work -> visual_art_practice -> literary_writing -> design_work -> film_or_video_production -> female_pronouns -> live_music_or_recording -> camera_or_photography_work -> legal_or_regulatory_work,interior_designer,0.788,True,interior_designer,0.552,True,architect,0.66,False,creative_or_artistic_work -> live_music_or_recording -> visual_art_practice -> literary_writing -> design_work -> film_or_video_production -> health_or_wellness_work -> legal_or_regulatory_work -> technical_or_engineering_work -> clinical_care,interior_designer,0.85,True,interior_designer,0.84,True,interior_designer,0.648,True
