concept,kind,description
legal_or_regulatory_work,utility,"this biography mentions law, legal services, courts, litigation, compliance, regulations, legal documents, or work with legal institutions"
legal_practice,utility,"this biography mentions practicing law, representing clients, litigation, court advocacy, legal counsel, or attorney work"
legal_support_work,utility,"this biography mentions legal support work, paralegal work, legal documents, filings, law office work, or case preparation"
health_or_wellness_work,utility,"this biography mentions healthcare, wellness, treatment, therapy, fitness, nutrition, body care, mental health, or helping people with physical or mental wellbeing"
clinical_care,utility,"this biography mentions direct clinical care, diagnosis, treatment, patients, medical practice, hospitals, clinics, or healthcare settings"
medical_training,utility,"this biography mentions medical school, medical degrees, residency, fellowship, board certification, physician training, or clinical credentials"
surgical_work,utility,"this biography mentions surgery, surgical procedures, operations, operating rooms, or surgical specialties"
nursing_care,utility,"this biography mentions nursing care, nursing credentials, nurse practitioner work, bedside patient care, or patient support by nurses"
dental_or_oral_health,utility,"this biography mentions dental care, oral health, teeth, crowns, dentures, orthodontics, or dentistry"
therapy_or_counseling,utility,"this biography mentions therapy, counseling, psychotherapy, mental health sessions, emotional support, or client counseling"
nutrition_or_diet_guidance,utility,"this biography mentions nutrition, diet planning, food guidance, meal planning, or health coaching around eating"
manual_body_treatment,utility,"this biography mentions hands-on physical treatment, spinal care, posture, musculoskeletal therapy, massage, physical manipulation, or chiropractic care"
education_or_academic_work,utility,"this biography mentions schools, universities, colleges, academic departments, faculty roles, students, labs, teaching, academic research, or scholarly work"
teaching_or_instruction,utility,"this biography mentions teaching, instruction, training students, tutoring, coaching, curriculum, classes, lessons, lectures, workshops, or educational guidance"
classroom_instruction,utility,"this biography mentions classroom teaching, pupils, school students, curriculum, lesson planning, or formal school instruction"
university_affiliation,utility,"this biography mentions universities, colleges, academic departments, faculty roles, academic appointments, campus roles, or higher education affiliation"
scientific_or_lab_research,utility,"this biography mentions a research lab, experiments, scientific methods, study participants, data collection, brain imaging, assays, fieldwork, or empirical investigation"
research_publications,utility,"this biography mentions research publications, papers, journals, grants, scholarly articles, citations, academic books, or academic research output"
advanced_degree_or_training,utility,"this biography mentions graduate degrees, doctoral training, master's degrees, certifications, advanced education, professional credentials, or formal specialized training"
